Class,X1,Y1,X2,Y2,Confidence
Cicadellidae,2.9421692,288.2282,722.7394,720.0,0.42265254
Cicadellidae,0.0,285.88394,705.7605,720.0,0.33709466
Cicadellidae,0.0,287.7586,699.8076,720.0,0.39413446
Cicadellidae,2.8727417,283.25854,705.2756,718.1808,0.42321885
Cicadellidae,0.0,288.97943,717.85846,720.0,0.3942746
Cicadellidae,0.0,292.80188,721.34265,720.0,0.3333844
Cicadellidae,0.0,304.33105,723.5475,720.0,0.3137819
Cicadellidae,0.6782532,246.41956,757.52454,720.0,0.3132371
Cicadellidae,2.2121887,242.0669,747.3518,720.0,0.36283264
Cicadellidae,1.5276184,232.24341,744.7827,720.0,0.42405158
Cicadellidae,1.5645142,232.22021,747.0639,720.0,0.50217223
Cicadellidae,0.0,232.43555,741.4592,720.0,0.5076313
Cicadellidae,0.0,238.55121,720.162,720.0,0.6315446
Cicadellidae,0.3835144,232.1666,721.871,720.0,0.52845013
Cicadellidae,1.9550476,232.76968,715.8684,720.0,0.6932123
Cicadellidae,0.2326355,232.77258,714.5613,720.0,0.5344171
Cicadellidae,0.0,232.28973,706.61743,720.0,0.50433064
Cicadellidae,0.5923157,234.70322,703.12085,718.2329,0.5098081
Cicadellidae,0.0,233.82822,704.44525,720.0,0.54825085
Cicadellidae,0.0,237.13834,698.44104,720.0,0.5242164
Cicadellidae,0.68133545,234.39178,697.5928,717.97034,0.4178543
Cicadellidae,0.0,232.93771,683.84155,720.0,0.4730089
Cicadellidae,0.0,225.7726,683.6643,720.0,0.42877167
Cicadellidae,0.21716309,230.60686,673.6377,720.0,0.56668293
Cicadellidae,0.0,223.09271,670.8136,720.0,0.41071546
Cicadellidae,1.0697327,229.20926,674.5908,719.5764,0.4674713
Cicadellidae,0.2694702,233.54828,689.7111,720.0,0.39693743
Cicadellidae,2.5905457,236.02618,682.63464,719.51,0.3387767
Cicadellidae,2.458435,235.08679,692.6329,718.57043,0.3001219
Cicadellidae,0.0,239.40295,696.67737,717.56757,0.38178772
Cicadellidae,0.0,234.79987,704.6184,720.0,0.42728472
Cicadellidae,0.0,238.96933,701.05194,720.0,0.38669902
Cicadellidae,0.0,237.43042,696.90186,720.0,0.40395862
Cicadellidae,1.3230591,236.52185,699.3394,720.0,0.3396439
Cicadellidae,0.8529358,233.37796,707.77563,718.86816,0.31096768
Cicadellidae,0.32644653,237.68237,698.4403,719.64966,0.33602032
Cicadellidae,0.0,247.80786,693.4863,719.15344,0.3345612
Cicadellidae,0.0,247.00977,686.91064,720.0,0.3987561
Cicadellidae,0.0,253.63943,682.8158,720.0,0.51475513
Cicadellidae,0.0,265.535,678.2859,720.0,0.5088963
Cicadellidae,0.0,267.3468,679.13464,720.0,0.51283497
Cicadellidae,0.0,269.24475,679.1389,720.0,0.55378586
Cicadellidae,0.0,262.0561,678.942,720.0,0.5343616
Cicadellidae,0.5099182,265.58685,676.4579,720.0,0.5172676
Cicadellidae,0.0,270.4593,666.42725,720.0,0.5145945
Cicadellidae,0.0,266.74927,678.8214,720.0,0.4825968
Cicadellidae,0.0,264.0761,678.0788,720.0,0.58277845
Cicadellidae,0.0,258.28424,676.3096,720.0,0.5605903
Cicadellidae,0.0,263.819,683.30444,720.0,0.5548264
Cicadellidae,0.0,267.1361,685.23505,720.0,0.6136798
Cicadellidae,0.0,263.38202,688.81586,720.0,0.52617365
Cicadellidae,0.0,263.91547,681.4292,720.0,0.5737589
Cicadellidae,0.0,264.89276,674.72095,720.0,0.6506573
Cicadellidae,0.0,263.25394,676.9921,720.0,0.638249
Cicadellidae,1.5532837,263.64307,678.5315,720.0,0.60849196
Cicadellidae,1.800354,265.83398,681.2481,720.0,0.5736866
Cicadellidae,0.0,267.3061,674.5178,720.0,0.5815725
Cicadellidae,0.0,272.77246,674.9874,720.0,0.55590445
Cicadellidae,0.0,278.39517,667.2396,720.0,0.5058104
Cicadellidae,0.0,287.1732,666.89014,720.0,0.45367983
Cicadellidae,3.1159058,286.99878,667.5992,720.0,0.49799722
Cicadellidae,1.5058289,272.62573,674.69507,720.0,0.44977066
Cicadellidae,2.7695618,284.6311,669.7446,720.0,0.47124112
Cicadellidae,0.0,281.8263,663.5192,720.0,0.47455296
Cicadellidae,0.0,275.3326,671.0609,717.0786,0.53584206
Cicadellidae,0.0,268.89926,671.82025,720.0,0.57665783
Cicadellidae,0.0,267.9453,674.9274,720.0,0.625847
Cicadellidae,0.0,269.36957,673.27844,720.0,0.6448413
Cicadellidae,0.4446411,264.70032,674.29706,720.0,0.5432841
Cicadellidae,0.0,264.60962,675.4541,720.0,0.6163904
Cicadellidae,0.0,264.3808,676.5552,720.0,0.554376
Cicadellidae,0.0,259.58185,678.73676,720.0,0.59961194
Cicadellidae,0.0,260.8374,677.31006,720.0,0.629434
Cicadellidae,0.0,258.1459,679.2439,720.0,0.5775294
Cicadellidae,0.0,265.76172,678.47675,720.0,0.5808482
Cicadellidae,0.0,273.60696,674.5591,720.0,0.5320757
Cicadellidae,0.0,260.7821,676.57294,720.0,0.5163524
Cicadellidae,0.0,260.40048,674.131,720.0,0.53893673
Cicadellidae,0.0,271.20697,669.00885,720.0,0.5987631
Cicadellidae,0.0,270.4356,664.5122,720.0,0.5976904
Cicadellidae,0.0,264.73462,672.3697,720.0,0.610179
Cicadellidae,0.0,274.5213,653.48596,720.0,0.4988744
Cicadellidae,0.0,276.16922,658.90485,720.0,0.42211476
Cicadellidae,0.0,257.0351,656.19653,720.0,0.44047254
Cicadellidae,0.0,273.94366,650.6707,720.0,0.4991919
Cicadellidae,0.26385498,260.79645,657.79596,720.0,0.41367805
Cicadellidae,0.6701355,260.4225,658.22034,720.0,0.37457415
Cicadellidae,0.69595337,259.3354,659.06555,720.0,0.41627243
Cicadellidae,0.0,271.68506,651.5132,720.0,0.4342507
Cicadellidae,0.0,260.27255,656.4497,720.0,0.45197475
Cicadellidae,0.0,270.53445,649.2368,720.0,0.46467122
Cicadellidae,0.0,260.1311,652.1415,720.0,0.45175296
Cicadellidae,0.0,270.5443,656.9207,720.0,0.48608682
Cicadellidae,0.0,270.27246,660.43713,720.0,0.5078754
Cicadellidae,0.0,272.4599,654.1368,720.0,0.5203709
Cicadellidae,0.0,267.97827,655.63794,720.0,0.45804742
Cicadellidae,0.28070068,254.36563,659.41345,720.0,0.4711
Cicadellidae,0.0,271.25003,658.8163,720.0,0.5697084
Cicadellidae,0.0,270.24893,667.75397,720.0,0.5604808
Cicadellidae,0.0,271.30634,666.48157,720.0,0.5592779
Cicadellidae,0.0,275.286,668.27124,720.0,0.55581605
Cicadellidae,0.0,272.54807,661.0187,720.0,0.5690482
Cicadellidae,0.0,272.77368,666.4058,720.0,0.59980536
Cicadellidae,0.0,282.6208,672.92566,720.0,0.55959326
Cicadellidae,0.0,288.66153,655.6832,720.0,0.4594013
Cicadellidae,0.0,294.28955,654.18164,720.0,0.33298874
Cicadellidae,0.0,294.0423,654.36523,720.0,0.36612314
Cicadellidae,0.0,295.95673,643.54956,720.0,0.40471295
Cicadellidae,0.0,279.38028,646.03436,720.0,0.41455445
Cicadellidae,1.3067017,227.33043,614.1228,720.0,0.36921948
